agency_name,position,name,appointment_date,expiry_date,appointment_method
Alberta Judicial Nominating Committee,Member,"Crowfoot, Chief Ouray",Mar 20 2023,Mar 19 2026,Ministerial Order
Alberta Labour Relations Board,"Chair, Commissioner","Schlesinger, Nancy",Jan 01 2021,Dec 31 2025,Order in Council
Alberta Labour Relations Board,Vice-Chair,"Nekolaichuk, Gordon",Aug 01 2021,Jul 31 2026,Order in Council
Alberta Labour Relations Board,Vice-Chair,"Schick, Jeremy",Sep 25 2022,Sep 24 2027,Order in Council
Alberta Labour Relations Board,Vice-Chair,"Smith, Ian",Nov 20 2021,Nov 19 2026,Order in Council
Alberta Labour Relations Board,Part-Time Vice-Chair,"Johnson, William",Jan 01 2024,Apr 30 2026,Order in Council
Alberta Labour Relations Board,Part-Time Vice-Chair,"Armstrong, William",Jun 23 2024,Apr 30 2027,Order in Council
Alberta Labour Relations Board,Part-Time Vice-Chair,"Scott, Karen",Mar 15 2024,Mar 14 2027,Order in Council
Alberta Labour Relations Board,P/T Vice-Chair & Member,"Semaine, Wassila",Apr 08 2024,Apr 07 2029,Order in Council
Alberta Labour Relations Board,"Board Member, Labour","Begemann, Bill",Apr 11 2023,Apr 10 2026,Order in Council
Alberta Labour Relations Board,"Board Member, Labour","Bish, Brent",Jul 18 2024,Apr 30 2027,Order in Council
Alberta Labour Relations Board,"Board Member, Labour","Brown, Allan",Oct 31 2023,Apr 30 2026,Order in Council
Alberta Labour Relations Board,"Board Member, Management","Burns, Jennifer",Jul 25 2025,Mar 31 2028,Order in Council
Alberta Labour Relations Board,Part-Time Vice-Chair,"Cunliffe, Pemme",Feb 16 2024,Feb 15 2027,Order in Council
Alberta Labour Relations Board,"Board Member, Management","Davis, Clayton",Oct 31 2023,Apr 30 2026,Order in Council
Alberta Labour Relations Board,"Board Member, Management","Connell, Lauren",Apr 01 2025,Mar 31 2028,Order in Council
Alberta Labour Relations Board,"Board Member, Labour","Farkas, Kris",Jul 24 2025,Mar 31 2028,Order in Council
Alberta Labour Relations Board,"Board Member, Management","Edmunds, Jodi",Apr 01 2025,Mar 31 2028,Order in Council
Alberta Labour Relations Board,"Board Member, Labour","Romanow, Todd",Apr 01 2025,Mar 31 2028,Order in Council
Alberta Labour Relations Board,"Board Member, Management","Chaffey, Jeffrey",May 01 2023,Apr 30 2026,Order in Council
Alberta Labour Relations Board,"Board Member, Management","Montanaro, Alexandra",Apr 01 2025,Mar 31 2028,Order in Council
Alberta Labour Relations Board,"Board Member, Management","Graham, Carol",Jul 18 2024,Apr 30 2027,Order in Council
Alberta Labour Relations Board,"Board Member, Labour","Fowler, Laine",May 01 2023,Apr 30 2026,Order in Council
Alberta Labour Relations Board,"Board Member, Labour","Gervais-Arbane, Debbie",May 01 2023,Apr 30 2026,Order in Council
Alberta Labour Relations Board,"Board Member, Labour","Worden, John",Apr 01 2025,Mar 31 2028,Order in Council
Alberta Labour Relations Board,"Board Member, Management","Mulla, Adeel",May 01 2023,Apr 30 2026,Order in Council
Alberta Labour Relations Board,"Board Member, Management","Olmstead, Wayne",May 01 2023,Apr 30 2026,Order in Council
Alberta Labour Relations Board,"Board Member, Labour","Rosinski, Leanne",May 01 2023,Apr 30 2026,Order in Council
Alberta Labour Relations Board,"Board Member, Management","Small, Brian",May 01 2023,Apr 30 2026,Order in Council
Alberta Labour Relations Board,"Board Member, Labour","Klassen, Randolph",May 04 2025,Mar 31 2028,Order in Council
Alberta Labour Relations Board,"Board Member, Management","Lacasse, Jacqueline",Jul 24 2025,Mar 31 2028,Order in Council
Alberta Labour Relations Board,"Board Member, Management","Metz, Kevin",Apr 01 2025,Mar 31 2028,Order in Council
Alberta Labour Relations Board,"Board Member, Labour","Marsden, Peter",Apr 11 2023,Apr 10 2026,Order in Council
Alberta Labour Relations Board,"Board Member, Management","Stewart, Jay",Apr 01 2025,Mar 31 2028,Order in Council
Alberta Labour Relations Board,"Board Member, Management","Norton, Crystal",Oct 31 2023,Apr 30 2026,Order in Council
Alberta Labour Relations Board,"Board Member, Labour","Ploof, Cal",Apr 11 2023,Apr 10 2026,Order in Council
Alberta Labour Relations Board,"Board Member, Management","Schenk, Rodney",May 04 2025,Mar 31 2028,Order in Council
Alberta Labour Relations Board,"Board Member, Labour","Renke, Brygeda",Oct 31 2023,Apr 30 2026,Order in Council
Alberta Labour Relations Board,"Board Member, Labour","Soderstrom, Carl",Oct 31 2023,Apr 30 2026,Order in Council
Alberta Labour Relations Board,"Board Member, Labour","Thibault, Karen",Oct 31 2023,Apr 30 2026,Order in Council
Alberta Labour Relations Board,"Board Member, Management","Titley, Travis",Apr 01 2025,Mar 31 2028,Order in Council
Alberta Labour Relations Board,"Board Member, Management","Williams, Richard",Apr 01 2025,Mar 31 2028,Order in Council
Alberta Labour Relations Board,"Board Member, Labour","Thibodeau, Trisha",May 04 2025,Mar 31 2028,Order in Council
Alberta Land Surveyors' Association - Council,Public Member,"deJong, John",Dec 18 2024,Dec 17 2025,Ministerial Order
Alberta Land Surveyors' Association - Practice Review Board,Public Member,"Solomon, Josh",Sep 13 2022,Sep 12 2025,Ministerial Order
Alberta Motor Vehicle Industry Council,Public-at-Large Member,"Ducharme, Denis",Nov 01 2024,Mar 31 2027,Ministerial Order
Alberta Motor Vehicle Industry Council,Chair and Member,"Krizan, Brad",Apr 01 2023,Mar 31 2026,Ministerial Order
Alberta Motor Vehicle Industry Council,Director,"Chan, Victoria",Feb 25 2025,Mar 31 2027,Ministerial Order
Alberta Motor Vehicle Industry Council,Director,"Wilson, Don",Jun 03 2025,Mar 31 2028,Ministerial Order
Alberta Motor Vehicle Industry Council,Public-at-Large Member,"Quest, David",Apr 01 2023,Mar 31 2026,Ministerial Order
Alberta Motor Vehicle Industry Council,Director,"Maron, Margeaux",Feb 25 2025,Mar 31 2027,Ministerial Order
Alberta Motor Vehicle Industry Council,Director,"Morrow, Russ",Jun 03 2025,Mar 31 2028,Ministerial Order
Alberta Order of Excellence Council,Chair & Member,"Mar, Gary",Jan 01 2025,Dec 31 2027,Order in Council
Alberta Order of Excellence Council,Member,"Naqvi, Jerry",Jan 01 2023,Dec 31 2025,Order in Council
Alberta Order of Excellence Council,Member,"Hodgson, Brian",Jan 24 2024,Dec 31 2026,Order in Council
Alberta Order of Excellence Council,Member,"Boucher, Jim",Jan 01 2025,Dec 31 2027,Order in Council
Alberta Order of Excellence Council,Member,"Carry, Sharon",Jan 01 2023,Dec 31 2025,Order in Council
Alberta Order of Excellence Council,Member,"Minhas, Manjit",Jan 01 2025,Dec 31 2027,Order in Council
Alberta Parole Board,Chair & Member,"Hanson, Rick",Feb 01 2024,Jan 31 2027,Order in Council
Alberta Parole Board,Member,"Bourassa, Paul",Feb 01 2024,Jan 31 2027,Order in Council
Alberta Parole Board,Member,"Paterson, Craig",Mar 29 2023,Mar 28 2026,Order in Council
Alberta Parole Board,Member,"Takacs, Shelly",Mar 29 2023,Mar 28 2026,Order in Council
Alberta Parole Board,Member,"Tripathy, Angela",Mar 29 2023,Mar 28 2026,Order in Council
Alberta Parole Board,Member,"Wardley, Lisa",Feb 01 2024,Jan 31 2027,Order in Council
Alberta Pensions Services Corporation,"Director, Independent","Roszell, Claudia",Oct 19 2023,Oct 18 2026,Shareholders Resolution
Alberta Pensions Services Corporation,Director,"Hannah, Richard",Oct 01 2022,Jan 04 2026,Shareholders Resolution
Alberta Pensions Services Corporation,Director,"Whittaker, Meryl",Oct 01 2022,Jan 04 2026,Shareholders Resolution
Alberta Pensions Services Corporation,Director,"Hamilton, Denise",Oct 19 2023,Oct 18 2026,Shareholders Resolution
Alberta Pensions Services Corporation,Director,"MacKinnon, Janice",Oct 09 2024,Oct 08 2027,Shareholders Resolution
Alberta Pensions Services Corporation,Director,"MacDonald, Colin",Oct 09 2024,Oct 08 2027,Shareholders Resolution
Alberta Pensions Services Corporation,Director,"McInnes, Brenda",Oct 09 2024,Oct 08 2027,Shareholders Resolution
Alberta Petroleum Marketing Commission,Chair & Director,"Kaumeyer, Larry",Aug 25 2023,Aug 24 2027,Ministerial Order
Alberta Petroleum Marketing Commission,Director,"Sterling, Stephanie",Jul 19 2023,Jul 18 2027,Ministerial Order
Alberta Petroleum Marketing Commission,Director,"Bryson, Corrina",Jan 19 2025,Jan 18 2029,Ministerial Order
Alberta Petroleum Marketing Commission,Director,"Hedley, Darren",Jun 10 2025,Jun 09 2027,Ministerial Order
Alberta Petroleum Marketing Commission,Vice-Chair,"LeBlanc, Roxanne",Feb 27 2024,Feb 26 2028,Ministerial Order
Alberta Petroleum Marketing Commission,Director,"Mowat, David",Jan 19 2025,Jan 18 2029,Ministerial Order
Alberta Petroleum Marketing Commission,Director,"Pettie, Diane",Jul 19 2023,Jul 18 2027,Ministerial Order
Alberta Professional Outfitters Society,Director (President of the Society),"Non-GoA Appointment, (Chair)",,,Letter
Alberta Professional Outfitters Society,Director,"Non-GoA Appointment, (Member)",,,Letter
Alberta Professional Planners Institute - Council,Public Member,"Hooper, Marilyn",Jul 04 2017,Jul 03 2019,Ministerial Order
Alberta Recycling Management Authority,Chair & Public Member,"Pickering, Brad",Jan 01 2025,Dec 31 2027,Letter
Alberta Recycling Management Authority,"GoA Member, Non-Voting","Rich, Kate",Mar 01 2024,,Letter
Alberta Securities Commission,Chair & Member,"Magidson, Stan",Jul 01 2021,Jun 30 2026,Order in Council
Alberta Securities Commission,Vice-Chair & Member,"Horn, Kari",May 01 2024,Apr 30 2030,Order in Council
Alberta Securities Commission,Vice-Chair & Member,"Cotter, Thomas",Apr 01 2020,Mar 12 2026,Order in Council
Alberta Securities Commission,Lead Independent Member,"Crossley, Raymond",Apr 01 2025,Mar 31 2026,Order in Council
Alberta Securities Commission,Member,"Bootle, Matthew",Apr 01 2025,Mar 31 2028,Order in Council
Alberta Securities Commission,Part-Time Member,"Whyte, Andrea",Nov 07 2024,Nov 06 2027,Order in Council
Alberta Securities Commission,Member,"Tingle, Bryce",Apr 01 2025,Mar 31 2028,Order in Council
Alberta Securities Commission,Member,"Curran, Trudy",Apr 01 2023,Mar 31 2026,Order in Council
Alberta Securities Commission,Member,"Oosterbaan, James",Apr 01 2023,Mar 31 2026,Order in Council
Alberta Securities Commission,Member,"Harding, Gail",Apr 01 2025,Mar 31 2028,Order in Council
Alberta Securities Commission,Member,"Kim, Karen",Apr 01 2023,Mar 31 2026,Order in Council
Alberta Securities Commission,Member,"Mair, Douglas",Apr 01 2024,Mar 31 2027,Order in Council
Alberta Shorthand Reporters' Association - Council,Public Member,"Ho, Wilson",Dec 18 2024,Dec 17 2026,Ministerial Order
Alberta Social Housing Corporation,Chair,"Minister, Seniors, Community and Social Services",May 20 2005,,Other
Alberta Social Housing Corporation,President,"Deputy Minister, Alberta Seniors",May 20 2005,,Other
Alberta Social Housing Corporation,Vice President,"ADM, Housing Division, Seniors",May 20 2005,,Other
Alberta Social Housing Corporation,"Member, TBF Designate","Epp, Lowell",May 20 2005,,Other
Alberta Social Housing Corporation,Member,"Senior Financial Officer, Seniors",May 20 2005,,Other
Alberta Society of Professional Biologists - Board of Directors,Public Member,"Beckett, Jim",Dec 18 2024,Dec 17 2026,Ministerial Order
Alberta Society of Professional Biologists - Board of Directors,Public Member,"Thomas, Sarah",Nov 21 2017,Nov 20 2019,Ministerial Order
Alberta University of the Arts Board of Governors,Chair,"Stimson, Adrian",Mar 20 2024,Mar 19 2027,Order in Council
Alberta University of the Arts Board of Governors,Member,"Gupta, Ruby",Mar 13 2024,Mar 12 2027,Order in Council
Alberta University of the Arts Board of Governors,Member,"Anhorn, Sara",Jun 25 2025,Jun 24 2028,Order in Council
Alberta University of the Arts Board of Governors,Member,"Cran, Chris",Jun 25 2025,Jun 24 2026,Order in Council
Alberta University of the Arts Board of Governors,Member,"Price, Tammi",Nov 29 2023,Nov 28 2026,Order in Council
Alberta University of the Arts Board of Governors,Member,"Iliya-Ndule, Chi",Nov 29 2023,Nov 28 2026,Order in Council
Alberta University of the Arts Board of Governors,Member,"Graham, Tom",Sep 27 2022,Sep 26 2025,Order in Council
Alberta University of the Arts Board of Governors,Member,"Legate, Evan",Mar 29 2023,Mar 28 2026,Order in Council
Alberta University of the Arts Board of Governors,Member,"Chiu, Patrick",Mar 20 2024,Mar 19 2027,Order in Council
Alberta University of the Arts Board of Governors,Member,"Taylor, Sheila",Feb 19 2023,Feb 18 2026,Order in Council
Alberta University of the Arts Board of Governors,Academic Staff Rep,"Kelly-Frère, Mackenzie",Feb 15 2024,Feb 14 2027,Ministerial Order
Alberta University of the Arts Board of Governors,Academic Staff Rep,"Lesick, Kurtis",Jun 01 2025,May 31 2028,Ministerial Order
Alberta University of the Arts Board of Governors,Non-Academic Staff Member Rep,"Mirjah, Samantha",Oct 23 2024,Dec 31 2025,Ministerial Order
Alberta University of the Arts Board of Governors,Student Member Rep,"Mryglod, Tanya",May 15 2025,May 14 2026,Ministerial Order
Alberta University of the Arts Board of Governors,Student Member Rep,"Wittmeier, Murray",May 15 2025,May 14 2026,Ministerial Order
Alberta Utilities Commission,Chair & Member,"Dahl Rees, Carolyn",May 07 2025,Mar 24 2030,Order in Council
Alberta Utilities Commission,Vice-Chair & Member,"Sebalj, Kristi",Jul 08 2023,Jul 08 2028,Order in Council
Alberta Utilities Commission,Member,"Marx, Renee",Jul 18 2022,Jul 17 2027,Order in Council
Alberta Utilities Commission,Member,"Arthur, Michael",Apr 03 2023,Apr 02 2028,Order in Council
Alberta Utilities Commission,Member,"Larder, Douglas",Jun 01 2021,May 31 2026,Order in Council
Alberta Utilities Commission,Member,"Price, Cairns",Jan 04 2021,Jan 03 2026,Order in Council
Alberta Utilities Commission,Member,"Slawinski, Vera",Jan 04 2021,Jan 03 2026,Order in Council
Alberta Utilities Commission,Member,"Oliver, Matthew",Apr 18 2022,Apr 17 2027,Order in Council
Alberta Utilities Commission,Acting Member,"Higgins, Maureen",May 07 2025,May 06 2030,Order in Council
Alberta Utilities Commission,Acting Member,"Mattie, Lora",May 07 2025,May 06 2030,Order in Council
Alberta Utilities Commission,Acting Member,"Kostesky, Vincent",Jan 04 2021,Jan 03 2026,Order in Council
Alberta Utilities Commission,Acting Member,"McCarthy, John",Apr 18 2022,Apr 17 2027,Order in Council
Alberta Utilities Commission,Acting Member,"Frehlich, Dennis",Apr 03 2023,Apr 02 2028,Order in Council
Alberta Utilities Commission,Acting Member,"Hawkins, Doug",Apr 03 2023,Apr 02 2028,Order in Council
Alberta Veterinary Medical Association - Council,Public Member,"Nagy, Alex",Nov 20 2024,Nov 19 2027,Order in Council
Alberta Veterinary Medical Association - Council,Public Member,"Sheremata, Carlamay",Aug 28 2024,Aug 27 2027,Order in Council
Alberta Veterinary Medical Association - Hearing Tribunal and Complaint Review Committee,Public Member,"Boutin, Tanya",Nov 20 2024,Nov 19 2027,Order in Council
Alberta Veterinary Medical Association - Hearing Tribunal and Complaint Review Committee,Public Member,"Merryweather, Lorne",Nov 20 2024,Nov 19 2027,Order in Council
Alberta Veterinary Medical Association - Hearing Tribunal and Complaint Review Committee,Public Member,"Lindsay, John",Nov 20 2024,Nov 19 2027,Order in Council
Alberta Veterinary Medical Association - Hearing Tribunal and Complaint Review Committee,Public Member,"Van Dyk, Skye",Nov 20 2024,Nov 19 2027,Order in Council
Appeals Commission for Alberta Workers' Compensation,Chair & Chief Appeals Commissioner,"Wispinski, Dale",Nov 01 2021,Oct 31 2026,Order in Council
Appeals Commission for Alberta Workers' Compensation,"Vice-Chair, F/T Commisioner - Employers","Parish, Lynn",May 01 2022,Apr 30 2027,Order in Council
Appeals Commission for Alberta Workers' Compensation,"Vice-Chair, F/T Commisioner - Workers","Godziuk, Gary",May 01 2021,Apr 30 2026,Order in Council
Appeals Commission for Alberta Workers' Compensation,F/T - Commissioner - Employers,"Faulder, Lynn",May 01 2023,Apr 30 2026,Order in Council
Appeals Commission for Alberta Workers' Compensation,F/T Commissioner - Employers,"Basarab, Sherryl",May 01 2023,Apr 30 2026,Order in Council
Appeals Commission for Alberta Workers' Compensation,F/T Commissioner - Employers,"Marshall, Bram",May 01 2025,Apr 30 2028,Order in Council
Appeals Commission for Alberta Workers' Compensation,F/T - Commissioner - Employers,"Saunders, Jody",May 01 2024,Apr 30 2027,Order in Council
Appeals Commission for Alberta Workers' Compensation,F/T - Commissioner - Employers,"Gordon, Susan",Jul 01 2023,Apr 30 2026,Order in Council
Appeals Commission for Alberta Workers' Compensation,F/T - Commissioner - Employers,"Whiting, Patty",May 01 2023,Apr 30 2026,Order in Council
Appeals Commission for Alberta Workers' Compensation,F/T - Commissioner - Employers,"Wong, Gia",May 01 2024,Apr 30 2027,Order in Council
Appeals Commission for Alberta Workers' Compensation,F/T - Commissioner - Employers,"Brittain, Grace Anne",May 01 2025,Apr 30 2028,Order in Council
Appeals Commission for Alberta Workers' Compensation,F/T - Commissioner - Employers,"Reimer, Robert",Jul 01 2023,Apr 30 2026,Order in Council
Appeals Commission for Alberta Workers' Compensation,F/T Commissioner - Employers,"Davison, Christopher",May 01 2023,Apr 30 2026,Order in Council
